territorio,ano,faixa_renda,categoria,valor_reais
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1792.13
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,1074.81
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,426.9
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,261.01
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,139.05
Brasil,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,72.31
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,1143.83
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,2562.49
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,1493.48
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,670.1
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,413.4
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,206.88
Brasil,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,103.59
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,1478.68
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,3761.14
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,2396.58
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,968.07
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,682.69
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,324.49
Brasil,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,142.85
Brasil,2018,Mais de 23.850 Reais,2.1.1 Alimentação,2105.91
Brasil,2018,Mais de 23.850 Reais,2.1.2 Habitação,6312.01
Brasil,2018,Mais de 23.850 Reais,2.1.4 Transporte,4136.09
Brasil,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,1563.41
Brasil,2018,Mais de 23.850 Reais,2.1.7 Educação,1418.41
Brasil,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,642.21
Brasil,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,231.2
Rondônia,2018,Total,2.1.1 Alimentação,386.79
Rondônia,2018,Total,2.1.2 Habitação,915.9
Rondônia,2018,Total,2.1.4 Transporte,553.36
Rondônia,2018,Total,2.1.6 Assistência à saude,169.65
Rondônia,2018,Total,2.1.7 Educação,85.55
Rondônia,2018,Total,2.1.8 Recreação e cultura,78.77
Rondônia,2018,Total,2.1.10 Serviços pessoais,34.1
Rondônia,2018,Até 1.908 Reais,2.1.1 Alimentação,203.78
Rondônia,2018,Até 1.908 Reais,2.1.2 Habitação,526.27
Rondônia,2018,Até 1.908 Reais,2.1.4 Transporte,150.08
Rondônia,2018,Até 1.908 Reais,2.1.6 Assistência à saude,81.11
Rondônia,2018,Até 1.908 Reais,2.1.7 Educação,26.67
Rondônia,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,24.82
Rondônia,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,14.86
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,290.27
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,707.23
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,269.03
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,110.09
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,51.7
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,53.14
Rondônia,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,20.04
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,456.11
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1004.01
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,550.03
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,185.67
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,87.04
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,89.86
Rondônia,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,35.2
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,624.25
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1431.87
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,1372.56
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,340.76
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,180.73
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,138.21
Rondônia,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,73.22
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,939.99
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,2158.64
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,2029.88
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,569.49
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,491.25
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,137.88
Rondônia,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,87.77
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,904.45
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,2204.43
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,2633.47
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,330.8
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,135.8
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,313.91
Rondônia,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,149.49
Rondônia,2018,Mais de 23.850 Reais,2.1.1 Alimentação,1063.53
Rondônia,2018,Mais de 23.850 Reais,2.1.2 Habitação,4068.72
Rondônia,2018,Mais de 23.850 Reais,2.1.4 Transporte,2872.86
Rondônia,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,543.87
Rondônia,2018,Mais de 23.850 Reais,2.1.7 Educação,430.06
Rondônia,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,926.01
Rondônia,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,127.49
Acre,2018,Total,2.1.1 Alimentação,637.28
Acre,2018,Total,2.1.2 Habitação,993.16
Acre,2018,Total,2.1.4 Transporte,507.78
Acre,2018,Total,2.1.6 Assistência à saude,153.13
Acre,2018,Total,2.1.7 Educação,70.46
Acre,2018,Total,2.1.8 Recreação e cultura,70.66
Acre,2018,Total,2.1.10 Serviços pessoais,33.33
Acre,2018,Até 1.908 Reais,2.1.1 Alimentação,473.75
Acre,2018,Até 1.908 Reais,2.1.2 Habitação,590.89
Acre,2018,Até 1.908 Reais,2.1.4 Transporte,144.59
Acre,2018,Até 1.908 Reais,2.1.6 Assistência à saude,64.73
Acre,2018,Até 1.908 Reais,2.1.7 Educação,29.16
Acre,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,31.94
Acre,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,14.89
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,592.63
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,730.8
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,221.98
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,130.65
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,40.85
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,46.28
Acre,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,22.1
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,767.97
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1107.24
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,585.64
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,175.35
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,68.42
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,75.84
Acre,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,35.14
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,822.06
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1645.56
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,947.37
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,228.79
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,101.87
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,158.03
Acre,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,68.39
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,868.57
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,2063.52
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,2368.86
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,411.08
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,190.81
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,217.5
Acre,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,69.58
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,878.31
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,2870.14
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,1915.33
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,524.08
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,444.09
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,228.83
Acre,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,127.14
Acre,2018,Mais de 23.850 Reais,2.1.1 Alimentação,897.89
Acre,2018,Mais de 23.850 Reais,2.1.2 Habitação,3576.25
Acre,2018,Mais de 23.850 Reais,2.1.4 Transporte,3421.25
Acre,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,670.12
Acre,2018,Mais de 23.850 Reais,2.1.7 Educação,601.92
Acre,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,133.62
Acre,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,197.04
Amazonas,2018,Total,2.1.1 Alimentação,557.7
Amazonas,2018,Total,2.1.2 Habitação,1131.74
Amazonas,2018,Total,2.1.4 Transporte,377.09
Amazonas,2018,Total,2.1.6 Assistência à saude,112.54
Amazonas,2018,Total,2.1.7 Educação,82.0
Amazonas,2018,Total,2.1.8 Recreação e cultura,74.59
Amazonas,2018,Total,2.1.10 Serviços pessoais,25.27
Amazonas,2018,Até 1.908 Reais,2.1.1 Alimentação,386.44
Amazonas,2018,Até 1.908 Reais,2.1.2 Habitação,590.49
Amazonas,2018,Até 1.908 Reais,2.1.4 Transporte,118.85
Amazonas,2018,Até 1.908 Reais,2.1.6 Assistência à saude,46.56
Amazonas,2018,Até 1.908 Reais,2.1.7 Educação,19.36
Amazonas,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,36.78
Amazonas,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,9.16
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,536.46
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,864.44
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,224.62
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,92.11
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,41.51
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,58.05
Amazonas,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,17.83
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,618.46
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1208.15
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,395.3
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,102.11
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,106.31
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,88.49
Amazonas,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,32.84
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,777.59
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1787.15
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,793.16
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,232.24
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,140.68
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,153.47
Amazonas,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,40.83
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,933.51
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,2584.88
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,1290.22
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,317.55
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,225.62
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,135.47
Amazonas,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,68.91
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,1134.25
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,4628.4
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,2003.12
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,264.29
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,578.62
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,209.85
Amazonas,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,68.97
Amazonas,2018,Mais de 23.850 Reais,2.1.1 Alimentação,1274.29
Amazonas,2018,Mais de 23.850 Reais,2.1.2 Habitação,5388.1
Amazonas,2018,Mais de 23.850 Reais,2.1.4 Transporte,1913.42
Amazonas,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,738.46
Amazonas,2018,Mais de 23.850 Reais,2.1.7 Educação,533.05
Amazonas,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,269.21
Amazonas,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,137.74
Roraima,2018,Total,2.1.1 Alimentação,545.88
Roraima,2018,Total,2.1.2 Habitação,1071.03
Roraima,2018,Total,2.1.4 Transporte,466.6
Roraima,2018,Total,2.1.6 Assistência à saude,108.42
Roraima,2018,Total,2.1.7 Educação,107.14
Roraima,2018,Total,2.1.8 Recreação e cultura,54.5
Roraima,2018,Total,2.1.10 Serviços pessoais,28.47
Roraima,2018,Até 1.908 Reais,2.1.1 Alimentação,309.14
Roraima,2018,Até 1.908 Reais,2.1.2 Habitação,527.17
Roraima,2018,Até 1.908 Reais,2.1.4 Transporte,98.74
Roraima,2018,Até 1.908 Reais,2.1.6 Assistência à saude,58.76
Roraima,2018,Até 1.908 Reais,2.1.7 Educação,42.62
Roraima,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,14.5
Roraima,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,11.54
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,460.37
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,740.97
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,328.44
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,66.35
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,96.64
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,29.49
Roraima,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,22.97
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,491.33
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1075.99
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,459.08
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,117.5
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,72.26
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,41.24
Roraima,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,29.55
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,729.75
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1719.85
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,990.47
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,116.88
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,129.67
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,136.02
Roraima,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,45.02
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,1837.96
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,1872.13
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,1228.72
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,463.55
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,353.24
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,92.06
Roraima,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,77.17
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,663.94
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,2381.8
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,1025.15
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,145.41
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,299.37
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,293.91
Roraima,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,74.52
Roraima,2018,Mais de 23.850 Reais,2.1.1 Alimentação,898.32
Roraima,2018,Mais de 23.850 Reais,2.1.2 Habitação,4109.78
Roraima,2018,Mais de 23.850 Reais,2.1.4 Transporte,1463.25
Roraima,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,108.8
Roraima,2018,Mais de 23.850 Reais,2.1.7 Educação,474.39
Roraima,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,112.84
Roraima,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,33.54
Pará,2018,Total,2.1.1 Alimentação,608.43
Pará,2018,Total,2.1.2 Habitação,891.38
Pará,2018,Total,2.1.4 Transporte,405.76
Pará,2018,Total,2.1.6 Assistência à saude,149.05
Pará,2018,Total,2.1.7 Educação,79.29
Pará,2018,Total,2.1.8 Recreação e cultura,63.04
Pará,2018,Total,2.1.10 Serviços pessoais,31.75
Pará,2018,Até 1.908 Reais,2.1.1 Alimentação,411.2
Pará,2018,Até 1.908 Reais,2.1.2 Habitação,517.55
Pará,2018,Até 1.908 Reais,2.1.4 Transporte,145.2
Pará,2018,Até 1.908 Reais,2.1.6 Assistência à saude,54.02
Pará,2018,Até 1.908 Reais,2.1.7 Educação,28.4
Pará,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,32.11
Pará,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,14.66
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,546.44
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.2 Habitação,772.47
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.4 Transporte,291.96
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.6 Assistência à saude,143.52
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.7 Educação,110.14
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.8 Recreação e cultura,61.02
Pará,2018,Mais de 1.908 a 2.862 Reais,2.1.10 Serviços pessoais,22.6
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.1 Alimentação,652.92
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.2 Habitação,1054.85
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.4 Transporte,480.33
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.6 Assistência à saude,181.98
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.7 Educação,108.21
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.8 Recreação e cultura,89.4
Pará,2018,Mais de 2.862 a 5.724 Reais,2.1.10 Serviços pessoais,37.11
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.1 Alimentação,1027.35
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.2 Habitação,1477.87
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.4 Transporte,493.9
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.6 Assistência à saude,267.08
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.7 Educação,126.19
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.8 Recreação e cultura,100.44
Pará,2018,Mais de 5.724 a 9.540 Reais,2.1.10 Serviços pessoais,64.48
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.1 Alimentação,1021.96
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.2 Habitação,2019.93
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.4 Transporte,1077.97
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.6 Assistência à saude,340.84
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.7 Educação,155.02
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.8 Recreação e cultura,101.0
Pará,2018,Mais de 9.540 a 14.310 Reais,2.1.10 Serviços pessoais,73.1
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.1 Alimentação,2463.17
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.2 Habitação,3559.75
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.4 Transporte,4980.1
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.6 Assistência à saude,857.66
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.7 Educação,225.58
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.8 Recreação e cultura,225.81
Pará,2018,Mais de 14.310 a 23.850 Reais,2.1.10 Serviços pessoais,204.82
Pará,2018,Mais de 23.850 Reais,2.1.1 Alimentação,1760.56
Pará,2018,Mais de 23.850 Reais,2.1.2 Habitação,4479.11
Pará,2018,Mais de 23.850 Reais,2.1.4 Transporte,1165.29
Pará,2018,Mais de 23.850 Reais,2.1.6 Assistência à saude,1348.66
Pará,2018,Mais de 23.850 Reais,2.1.7 Educação,158.45
Pará,2018,Mais de 23.850 Reais,2.1.8 Recreação e cultura,85.08
Pará,2018,Mais de 23.850 Reais,2.1.10 Serviços pessoais,191.1
Amapá,2018,Total,2.1.1 Alimentação,894.87
Amapá,2018,Total,2.1.2 Habitação,1185.68
Amapá,2018,Total,2.1.4 Transporte,537.6
Amapá,2018,Total,2.1.6 Assistência à saude,185.96
Amapá,2018,Total,2.1.7 Educação,160.49
Amapá,2018,Total,2.1.8 Recreação e cultura,83.43
Amapá,2018,Total,2.1.10 Serviços pessoais,48.72
Amapá,2018,Até 1.908 Reais,2.1.1 Alimentação,643.36
Amapá,2018,Até 1.908 Reais,2.1.2 Habitação,596.68
Amapá,2018,Até 1.908 Reais,2.1.4 Transporte,219.42
Amapá,2018,Até 1.908 Reais,2.1.6 Assistência à saude,79.72
Amapá,2018,Até 1.908 Reais,2.1.7 Educação,36.55
Amapá,2018,Até 1.908 Reais,2.1.8 Recreação e cultura,29.76
Amapá,2018,Até 1.908 Reais,2.1.10 Serviços pessoais,15.95
Amapá,2018,Mais de 1.908 a 2.862 Reais,2.1.1 Alimentação,747.85
