descricao,valor,categoria
Assinatura Duolingo Plus,78.98,Educacao
Consulta Medica Particular,298.89,Saude
Streaming Spotify Premium,30.88,Lazer
Moveis Tok e Stok,162.9,Moradia
Academia Smart Fit,98.41,Saude
Mensalidade Escola Objetivo,106.49,Educacao
Mensalidade Faculdade Estacio,160.59,Educacao
Onibus Intermunicipal,56.53,Transporte
Pet Shop Bicho Feliz,19.56,Servicos
Fisioterapia ReviveMed,73.35,Saude
Imobiliaria Confianca,163.58,Moradia
Salao de Beleza Estilo,13.24,Servicos
Aplicativo InDrive,28.43,Transporte
Assistencia Tecnica Eletronicos,34.19,Servicos
Condominio Residencial Sol,375.07,Moradia
Mercado Dia a Dia,49.99,Alimentacao
Clinica Odontologica Sorriso,323.73,Saude
Psicologo Consulta Online,176.2,Saude
Buffet de Eventos Tematico,13.5,Lazer
Farmacia Extrafarma,160.61,Saude
Streaming Netflix,14.06,Lazer
Pet Shop Amigo Fiel,30.74,Servicos
Imobiliaria Confianca,397.26,Moradia
Balada Clube Noturno,20.06,Lazer
Mercado Dia a Dia,63.45,Alimentacao
Pet Shop Bicho Feliz,74.0,Servicos
Moveis Tok e Stok,132.28,Moradia
Papelaria Nobre,40.22,Educacao
Auto Pecas Brasil,34.8,Transporte
Pet Shop Bicho Feliz,14.91,Servicos
Gas Ultragaz,282.03,Moradia
Auto Pecas Center,186.72,Transporte
Auto Pecas Center,34.17,Transporte
Gas Ultragaz,433.79,Moradia
Mercadinho da Vila,50.74,Alimentacao
Agua e Esgoto Sabesp,357.41,Moradia
Posto Shell,49.94,Transporte
Conta de Agua,466.41,Moradia
Cinema Cinemark,23.53,Lazer
Padaria Sao Jose,42.77,Alimentacao
Onibus Intermunicipal,23.33,Transporte
iFood Delivery,61.83,Alimentacao
Hospital Sao Marcos,190.6,Saude
Parque Aquatico Wet Fun,22.78,Lazer
Plano Odontologico Amil Dental,397.47,Saude
Onibus Intermunicipal,16.21,Transporte
Livraria Livraria Nobel,48.46,Educacao
Conserto de Eletronicos,37.53,Servicos
Gas Comgas,282.6,Moradia
Consulta Medica Particular,196.28,Saude
Lava Rapido Total,23.21,Transporte
Condominio Residencial Sol,301.22,Moradia
Curso de Ingles CNA,43.7,Educacao
Farmacia Droga Raia,329.38,Saude
Streaming Spotify Premium,19.59,Lazer
Barbearia Moderna,9.35,Servicos
Padaria Ponto do Pao,129.31,Alimentacao
Onibus Metropolitano,54.75,Transporte
Protecao Veicular Allianz,15.12,Transporte
Consulta Medica Clinica Vida,108.48,Saude
Pedagio Via Facil,43.47,Transporte
Feira Livre Central,48.72,Alimentacao
Mercado Dia a Dia,36.88,Alimentacao
Streaming Disney Plus,45.92,Lazer
Lavanderia Express,59.42,Servicos
Material de Construcao Casa Show,649.01,Moradia
Condominio Residencial Sol,213.01,Moradia
Hospital Sao Marcos,264.23,Saude
Moveis Etna,189.81,Moradia
Posto BR Mania,24.93,Transporte
Material Escolar Didatico,118.6,Educacao
iFood Delivery,38.7,Alimentacao
Condominio Edificio Central,166.33,Moradia
Mensalidade Faculdade Estacio,253.5,Educacao
Mensalidade Escola Objetivo,136.79,Educacao
Farmacia Droga Raia,228.26,Saude
Papelaria Escolar Center,31.88,Educacao
Moveis Etna,378.21,Moradia
Barbearia Vintage,26.86,Servicos
Manicure a Domicilio,36.58,Servicos
Assinatura Duolingo Plus,104.86,Educacao
Pedagio Sem Parar,77.22,Transporte
Streaming Netflix,16.59,Lazer
Conserto de Eletronicos,11.85,Servicos
Padaria Doce Vida,12.86,Alimentacao
Balada Clube Noturno,7.98,Lazer
Boliche Fun Center,28.97,Lazer
Material de Construcao Casa Show,167.2,Moradia
Pet Shop Bicho Feliz,23.32,Servicos
Plano Odontologico OdontoPrev,56.82,Saude
Salao de Beleza Estilo,20.36,Servicos
Combustivel Gasolina,29.84,Transporte
Chaveiro 24 Horas,21.6,Servicos
Pedagio Via Facil,38.28,Transporte
Barbearia Moderna,25.77,Servicos
Plano Odontologico Amil Dental,151.65,Saude
Costureira do Bairro,10.93,Servicos
Oficina Mecanica Silva,45.43,Transporte
Mercado Atacadao,44.55,Alimentacao
Restaurante Prato Feito,47.07,Alimentacao
Laboratorio Exame Hermes Pardini,77.65,Saude
Conserto de Eletronicos,20.81,Servicos
Buffet de Eventos Tematico,14.38,Lazer
Farmacia Droga Raia,393.66,Saude
Metro Bilhete Unico,75.41,Transporte
Bar do Amigo,19.54,Lazer
Parque de Diversoes,37.62,Lazer
Consulta Medica Clinica Vida,46.12,Saude
Bar da Esquina,15.08,Lazer
Combustivel Etanol,35.84,Transporte
Combustivel Gasolina,42.26,Transporte
Mercado Atacadao,27.01,Alimentacao
Lava Rapido Total,48.11,Transporte
Curso Online Coursera,48.06,Educacao
Seguro Residencial Porto,271.98,Moradia
Hospital Sao Marcos,141.44,Saude
Barbearia Vintage,18.67,Servicos
Assistencia Tecnica Eletronicos,18.4,Servicos
Energia CPFL,394.72,Moradia
Lava Rapido Brilho,76.87,Transporte
Curso Profissionalizante,243.07,Educacao
Feira Livre Central,105.84,Alimentacao
Auto Pecas Center,34.85,Transporte
Barbearia Vintage,9.7,Servicos
Assistencia Tecnica Eletronicos,65.46,Servicos
Clinica Odontologica Sorriso,96.4,Saude
Aplicativo 99,44.94,Transporte
Posto Ipiranga,28.5,Transporte
Chaveiro 24 Horas,80.94,Servicos
Hospital Sao Marcos,238.41,Saude
Streaming Disney Plus,17.1,Lazer
Imobiliaria Confianca,317.54,Moradia
Curso de Ingles Fisk,80.48,Educacao
Internet Oi Fibra,712.42,Moradia
Lavanderia Express,16.89,Servicos
Pet Shop Bicho Feliz,16.81,Servicos
Hospital Sao Marcos,169.73,Saude
Hospital Sao Marcos,101.54,Saude
Papelaria Nobre,230.67,Educacao
Cinema Cinemark,42.47,Lazer
Cinema Kinoplex,36.49,Lazer
Streaming Deezer,45.64,Lazer
Internet Oi Fibra,357.91,Moradia
Supermercado Extra,83.52,Alimentacao
Psicologo Consulta Online,54.44,Saude
Mensalidade Faculdade Estacio,202.76,Educacao
Mercadinho da Vila,40.01,Alimentacao
Balada Clube Noturno,14.79,Lazer
Mercado Dia a Dia,58.12,Alimentacao
Onibus Intermunicipal,58.31,Transporte
Mercado Dia a Dia,52.81,Alimentacao
Cinema Kinoplex,41.21,Lazer
Salao de Beleza Estilo,24.16,Servicos
Lanchonete do Povo,45.97,Alimentacao
Onibus Metropolitano,36.88,Transporte
Restaurante Temperinho,33.47,Alimentacao
Combustivel Etanol,45.64,Transporte
Livraria Saraiva,55.19,Educacao
Academia Smart Fit,217.11,Saude
Restaurante Prato Feito,41.34,Alimentacao
Aplicativo Uber,44.55,Transporte
Restaurante Sabor Caseiro,47.76,Alimentacao
Assistencia Tecnica Celular,34.94,Servicos
Curso Online Coursera,193.58,Educacao
Plano de Saude Amil,83.29,Saude
Material de Construcao Leroy Merlin,187.4,Moradia
Salao de Beleza Estilo,10.05,Servicos
Consulta Medica Clinica Vida,110.48,Saude
Revisao Automotiva Center,19.04,Transporte
Padaria Bela Vista,37.49,Alimentacao
Plano de Saude SulAmerica,56.65,Saude
Streaming Disney Plus,17.66,Lazer
Plano Odontologico OdontoPrev,342.06,Saude
Posto Ipiranga,61.32,Transporte
Servico de Fotografia,17.1,Servicos
Pet Shop Bicho Feliz,45.54,Servicos
Remedio Farmacia,299.77,Saude
Papelaria Nobre,58.79,Educacao
Pet Shop Bicho Feliz,12.05,Servicos
Lavanderia Rapida,43.26,Servicos
Abastecimento Veiculo,55.24,Transporte
Farmacia Popular,54.24,Saude
Hortifruti Sao Joao,45.01,Alimentacao
Barbearia Moderna,44.81,Servicos
Oficina Mecanica Silva,65.08,Transporte
Plano de Saude Unimed,354.71,Saude
Pet Shop Bicho Feliz,63.99,Servicos
iFood Delivery,31.15,Alimentacao
Moveis Etna,251.05,Moradia
Onibus Intermunicipal,37.96,Transporte
Conserto de Eletronicos,12.62,Servicos
Internet Oi Fibra,168.48,Moradia
Energia Enel,231.78,Moradia
Curso Online Udemy,71.44,Educacao
Assistencia Tecnica Celular,86.75,Servicos
Costureira do Bairro,17.81,Servicos
Salao de Beleza Vintage,38.29,Servicos
Oficina Mecanica Rapida,26.32,Transporte
Livraria Saraiva,82.97,Educacao
Pet Shop Bicho Feliz,26.12,Servicos
Mensalidade Faculdade Anhanguera,210.82,Educacao
Onibus Metropolitano,22.36,Transporte
Lava Rapido Brilho,30.36,Transporte
Energia Light,180.59,Moradia
Salao de Beleza Charme,5.19,Servicos
Lava Rapido Brilho,22.03,Transporte
Chaveiro 24 Horas,8.96,Servicos
Streaming Spotify Premium,12.77,Lazer
Farmacia Extrafarma,346.31,Saude
Mensalidade Faculdade Unip,123.97,Educacao
Pet Shop Bicho Feliz,71.01,Servicos
Acougue do Ze,32.66,Alimentacao
Supermercado Big Bompreco,24.19,Alimentacao
Farmacia Droga Raia,183.87,Saude
Plano Odontologico OdontoPrev,59.38,Saude
Mensalidade Escola Objetivo,121.78,Educacao
Bar da Esquina,77.06,Lazer
Costureira do Bairro,10.06,Servicos
Buffet de Eventos Tematico,6.92,Lazer
Salao de Beleza Estilo,83.44,Servicos
Energia Light,263.09,Moradia
Boliche Fun Center,78.89,Lazer
Hortifruti Verde Vida,17.39,Alimentacao
Streaming Amazon Prime,9.46,Lazer
Psicologo Consulta Online,151.35,Saude
Aplicativo 99,69.27,Transporte
Abastecimento Veiculo,51.62,Transporte
Onibus Intermunicipal,41.53,Transporte
Internet Vivo Fibra,224.62,Moradia
Farmacia Nissei,142.67,Saude
Material de Construcao Casa Show,481.68,Moradia
Lavanderia Express,14.91,Servicos
Plano de Saude Unimed,200.76,Saude
Clinica Odontologica Sorriso,64.21,Saude
Protecao Veicular Porto Seguro,36.8,Transporte
Fisioterapia ReviveMed,167.85,Saude
Curso de Ingles Fisk,200.56,Educacao
Hospital Sao Marcos,74.64,Saude
Lava Rapido Brilho,54.97,Transporte
Abastecimento Veiculo,29.66,Transporte
Internet Claro Fibra,367.87,Moradia
Padaria Ponto do Pao,61.48,Alimentacao
Papelaria Kalunga,200.21,Educacao
Aplicativo Uber,72.2,Transporte
Assistencia Tecnica Celular,10.99,Servicos
Rappi Delivery,57.11,Alimentacao
Streaming Disney Plus,15.56,Lazer
Livraria Saraiva,101.19,Educacao
Lavanderia Express,11.0,Servicos
Curso Preparatorio Vestibular,115.52,Educacao
Cinema Kinoplex,48.95,Lazer
Streaming Spotify Premium,5.95,Lazer
Streaming Disney Plus,29.95,Lazer
Aplicativo 99,12.53,Transporte
Curso Online Udemy,78.83,Educacao
Padaria Bela Vista,73.09,Alimentacao
Streaming Deezer,35.08,Lazer
Imobiliaria Confianca,354.64,Moradia
Livraria Cultura Didatica,168.43,Educacao
Curso Online Coursera,50.55,Educacao
Protecao Veicular Porto Seguro,13.76,Transporte
Protecao Veicular Porto Seguro,33.24,Transporte
Supermercado Assai,51.17,Alimentacao
Moveis Tok e Stok,339.81,Moradia
Parque Aquatico Wet Fun,6.01,Lazer
Salao de Beleza Estilo,15.62,Servicos
Salao de Beleza Vintage,7.2,Servicos
Onibus Metropolitano,68.35,Transporte
Oficina Mecanica Rapida,43.73,Transporte
Farmacia Popular,69.14,Saude
Buffet de Eventos Tematico,26.1,Lazer
Feira Livre Central,25.35,Alimentacao
Auto Pecas Center,39.0,Transporte
iFood Delivery,53.58,Alimentacao
Academia Bio Ritmo,67.88,Saude
Farmacia Extrafarma,369.53,Saude
Mercadinho da Vila,66.55,Alimentacao
Farmacia Popular,219.97,Saude
Conta de Agua,329.86,Moradia
Fisioterapia ReviveMed,66.55,Saude
Boliche Fun Center,11.01,Lazer
Curso Online Udemy,36.25,Educacao
Clinica Odontologica Bem Estar,662.83,Saude
Curso Profissionalizante,89.05,Educacao
Padaria Doce Vida,26.19,Alimentacao
Gas Ultragaz,250.03,Moradia
Condominio Edificio Central,263.33,Moradia
Parque de Diversoes,22.01,Lazer
Mercadinho Bom Preco,60.11,Alimentacao
Reforma Casa e Cia,621.51,Moradia
Fisioterapia ReviveMed,244.31,Saude
Aluguel Apartamento Centro,364.61,Moradia
Lavanderia Express,14.5,Servicos
Aluguel Casa Jardim,137.1,Moradia
Lavanderia Rapida,13.24,Servicos
Costureira do Bairro,41.94,Servicos
Salao de Beleza Vintage,46.87,Servicos
Posto Shell,43.95,Transporte
Curso Online Coursera,110.57,Educacao
Rappi Delivery,41.42,Alimentacao
Supermercado Extra,225.55,Alimentacao
Oficina Mecanica Rapida,62.57,Transporte
Posto BR Mania,64.59,Transporte
Posto Shell,42.17,Transporte
Passeio Parque Aquatico,10.11,Lazer
Supermercado Assai,37.58,Alimentacao
Plano Odontologico Amil Dental,55.8,Saude
Curso Online Alura,33.14,Educacao
Academia Smart Fit,116.61,Saude
Lanchonete do Povo,22.48,Alimentacao
Pet Shop Bicho Feliz,31.78,Servicos
Streaming Disney Plus,68.41,Lazer
Consulta Medica Clinica Vida,75.27,Saude
Buffet de Eventos Tematico,86.91,Lazer
Streaming HBO Max,19.84,Lazer
Hortifruti Sao Joao,35.88,Alimentacao
Condominio Residencial Sol,844.21,Moradia
Metro Bilhete Unico,42.16,Transporte
Mensalidade Faculdade Estacio,38.66,Educacao
Farmacia Popular,69.98,Saude
Lavanderia Rapida,34.2,Servicos
Plano de Saude Unimed,43.43,Saude
Clinica Odontologica Sorriso,145.84,Saude
Farmacia Popular,162.08,Saude
Estacionamento Zona Azul,16.89,Transporte
Parque de Diversoes,30.11,Lazer
Aluguel Casa Jardim,176.93,Moradia
Supermercado Assai,60.19,Alimentacao
Plano Odontologico Amil Dental,238.33,Saude
Salao de Beleza Charme,17.18,Servicos
Livraria Livraria Nobel,59.68,Educacao
Onibus Intermunicipal,37.5,Transporte
Lava Rapido Total,32.93,Transporte
Hortifruti Sao Joao,53.76,Alimentacao
Posto Ipiranga,29.42,Transporte
Curso Tecnico Senai,40.71,Educacao
Energia Light,182.23,Moradia
Manicure a Domicilio,65.68,Servicos
Barbearia Vintage,19.77,Servicos
Lavanderia Express,10.95,Servicos
Salao de Beleza Vintage,12.63,Servicos
Material Escolar Didatico,79.06,Educacao
Posto BR Mania,34.86,Transporte
Estacionamento Zona Azul,44.46,Transporte
Posto BR Mania,52.15,Transporte
Chaveiro 24 Horas,30.5,Servicos
Restaurante Prato Feito,48.5,Alimentacao
Streaming HBO Max,23.36,Lazer
Cinema Cinemark,8.36,Lazer
Clinica Odontologica Sorriso,76.98,Saude
Estacionamento Multipark,50.28,Transporte
Protecao Veicular Allianz,23.67,Transporte
Curso de Ingles Fisk,75.57,Educacao
Mercado Sao Luiz,33.86,Alimentacao
Salao de Beleza Estilo,47.28,Servicos
Revisao Automotiva Center,17.45,Transporte
Academia Smart Fit,58.18,Saude
Plano de Saude Amil,76.96,Saude
Agua e Esgoto Copasa,325.38,Moradia
Plano de Saude SulAmerica,258.99,Saude
Buffet de Eventos Tematico,20.55,Lazer
Mensalidade Faculdade Estacio,46.47,Educacao
Padaria Ponto do Pao,83.59,Alimentacao
Curso de Ingles CNA,111.76,Educacao
Energia Enel,340.44,Moradia
Assistencia Tecnica Celular,43.21,Servicos
Posto Ipiranga,12.65,Transporte
Restaurante Prato Feito,31.9,Alimentacao
Farmacia Extrafarma,190.24,Saude
Laboratorio Exame Fleury,139.25,Saude
Mensalidade Faculdade Anhanguera,67.9,Educacao
Rappi Delivery,36.93,Alimentacao
Boliche Fun Center,49.77,Lazer
Supermercado Assai,41.23,Alimentacao
Pet Shop Amigo Fiel,25.82,Servicos
Material Escolar Didatico,97.21,Educacao
Bar do Amigo,22.01,Lazer
Supermercado Extra,39.87,Alimentacao
Protecao Veicular Porto Seguro,37.29,Transporte
Material Escolar Didatico,73.85,Educacao
Onibus Intermunicipal,66.33,Transporte
Lavanderia Express,41.03,Servicos
Laboratorio Exame Fleury,84.8,Saude
Rappi Delivery,107.84,Alimentacao
Combustivel Gasolina,48.16,Transporte
Aplicativo InDrive,39.78,Transporte
Curso Online Alura,94.64,Educacao
Curso Tecnico Senai,49.72,Educacao
Manicure a Domicilio,7.16,Servicos
Streaming Spotify Premium,8.03,Lazer
Condominio Residencial Sol,217.2,Moradia
Posto BR Mania,36.91,Transporte
Papelaria Escolar Center,176.9,Educacao
Lanchonete Central,128.71,Alimentacao
Balada Clube Noturno,21.92,Lazer
Costureira do Bairro,11.12,Servicos
Barbearia Classica,22.55,Servicos
Clinica Odontologica Bem Estar,124.73,Saude
Plano de Saude Amil,110.64,Saude
Mensalidade Faculdade Anhanguera,239.02,Educacao
Mensalidade Faculdade Estacio,97.2,Educacao
Farmacia Drogasil,119.32,Saude
iFood Delivery,57.97,Alimentacao
Auto Pecas Center,47.98,Transporte
Servico de Fotografia,62.53,Servicos
Hospital Sao Marcos,187.28,Saude
Curso de Ingles Wizard,62.95,Educacao
Plano Odontologico OdontoPrev,166.8,Saude
Livraria Cultura Didatica,73.06,Educacao
Gas Ultragaz,326.76,Moradia
iFood Delivery,45.88,Alimentacao
Pedagio Sem Parar,40.22,Transporte
Streaming Disney Plus,32.98,Lazer
Gas Ultragaz,189.6,Moradia
Papelaria Nobre,70.89,Educacao
Agua e Esgoto Copasa,314.75,Moradia
Onibus Intermunicipal,46.79,Transporte
Salao de Beleza Charme,13.2,Servicos
Salao de Beleza Estilo,14.53,Servicos
Oficina Mecanica Silva,35.35,Transporte
Bar do Amigo,16.1,Lazer
Estacionamento Zona Azul,56.46,Transporte
Restaurante Sabor Caseiro,52.41,Alimentacao
Conta de Luz,190.46,Moradia
Parque Aquatico Wet Fun,19.45,Lazer
Conta de Luz,789.51,Moradia
Papelaria Escolar Center,103.59,Educacao
Barbearia Classica,34.28,Servicos
Passeio Parque Aquatico,10.08,Lazer
Restaurante Sabor Caseiro,22.23,Alimentacao
Farmacia Pague Menos,49.43,Saude
Posto BR Mania,65.09,Transporte
Seguro Residencial Bradesco,357.84,Moradia
Plano de Saude Unimed,147.71,Saude
Aluguel Casa Jardim,385.08,Moradia
Pedagio Sem Parar,33.33,Transporte
Costureira do Bairro,129.14,Servicos
Chaveiro 24 Horas,25.56,Servicos
Energia CPFL,359.68,Moradia
Pet Shop Bicho Feliz,32.45,Servicos
Padaria Doce Vida,56.99,Alimentacao
Cinema Ingresso Show,15.02,Lazer
Clinica Odontologica Sorriso,73.39,Saude
Conta de Luz,415.74,Moradia
Lavanderia Rapida,25.77,Servicos
Onibus Metropolitano,48.51,Transporte
Chaveiro 24 Horas,30.61,Servicos
Mensalidade Escola Positivo,47.71,Educacao
Imobiliaria Confianca,231.74,Moradia
Curso Profissionalizante,166.98,Educacao
Acougue Boi Bom,37.39,Alimentacao
Barbearia Vintage,25.07,Servicos
Passeio Parque Aquatico,6.11,Lazer
Assistencia Tecnica Eletronicos,89.52,Servicos
Mercado Sao Luiz,30.9,Alimentacao
Pedagio Sem Parar,23.88,Transporte
Aluguel Casa Jardim,153.11,Moradia
Agua e Esgoto Copasa,118.4,Moradia
Supermercado Carrefour,65.35,Alimentacao
Plano de Saude Unimed,103.68,Saude
Plano Odontologico Amil Dental,180.3,Saude
Agua e Esgoto Sabesp,273.45,Moradia
Hortifruti Verde Vida,30.29,Alimentacao
Posto Shell,94.66,Transporte
iFood Delivery,49.44,Alimentacao
Psicologo Consulta Online,82.78,Saude
Academia Smart Fit,68.45,Saude
Supermercado Extra,65.58,Alimentacao
Posto Shell,14.45,Transporte
Papelaria Nobre,57.28,Educacao
Curso Online Alura,80.05,Educacao
Lavanderia Express,21.38,Servicos
Aplicativo 99,109.55,Transporte
Material de Construcao Leroy Merlin,360.19,Moradia
Salao de Beleza Estilo,10.9,Servicos
Hortifruti Sao Joao,28.19,Alimentacao
Papelaria Escolar Center,491.54,Educacao
Curso Preparatorio Vestibular,59.94,Educacao
Bar do Amigo,32.23,Lazer
Academia Smart Fit,299.16,Saude
Oficina Mecanica Rapida,43.28,Transporte
Fisioterapia ReviveMed,142.56,Saude
Passeio Parque Aquatico,38.22,Lazer
Pedagio Sem Parar,45.52,Transporte
Livraria Cultura Didatica,57.77,Educacao
Mensalidade Escola Objetivo,141.29,Educacao
Salao de Beleza Charme,9.13,Servicos
Parque de Diversoes,20.07,Lazer
Estacionamento Multipark,61.38,Transporte
Manicure a Domicilio,88.61,Servicos
Seguro Residencial Bradesco,158.98,Moradia
Mensalidade Faculdade Unip,90.58,Educacao
Agua e Esgoto Copasa,755.66,Moradia
Papelaria Escolar Center,38.31,Educacao
Moveis Etna,200.12,Moradia
Farmacia Extrafarma,130.18,Saude
