renda_mensal,nivel_endividamento,frequencia_poupanca,comprometimento_gastos,Alimentacao,Moradia,Transporte,Saude,Educacao,Lazer,Servicos,perfil_financeiro
3933.84,21.5,Media,55.4,381.59,799.69,565.47,199.75,115.95,75.34,39.85,Saudavel
2234.3,48.3,Baixa,76.8,379.6,640.86,388.25,143.71,86.08,47.11,29.76,Em observacao
4148.82,67.4,Baixa,37.7,369.68,525.2,382.63,116.97,96.22,46.07,27.54,Em risco
3360.16,6.9,Media,65.8,439.67,904.73,501.33,157.06,101.82,72.12,35.67,Saudavel
9564.44,16.0,Media,30.5,437.37,1309.97,649.17,260.64,142.42,71.02,43.69,Saudavel
2042.03,27.0,Alta,77.8,390.29,582.7,284.97,148.51,102.1,59.43,21.6,Em observacao
1412.0,43.7,Baixa,58.5,153.4,290.3,199.62,87.1,54.0,29.54,12.72,Em observacao
2555.17,53.2,Media,62.3,312.35,585.71,365.44,153.19,97.96,48.77,27.86,Em risco
8966.76,64.7,Media,49.4,919.7,1985.69,802.13,344.1,188.63,120.53,67.05,Em risco
1770.96,58.5,Media,22.3,71.92,182.33,75.28,31.25,20.55,9.57,4.48,Em risco
3112.35,9.5,Media,30.0,189.93,369.93,194.06,90.59,50.32,26.44,13.55,Saudavel
4117.2,8.9,Media,43.6,382.72,813.9,283.49,139.16,99.71,53.47,21.46,Saudavel
3561.35,29.8,Baixa,83.7,502.97,1163.78,691.99,328.1,165.47,91.35,38.38,Em observacao
2825.35,80.1,Baixa,44.3,198.76,567.05,251.15,115.28,69.77,34.22,14.43,Em risco
1863.35,49.2,Baixa,38.5,145.81,296.39,134.08,75.52,38.31,18.01,8.54,Em observacao
1602.8,24.9,Baixa,58.9,170.59,441.59,154.36,77.87,56.06,29.63,14.7,Saudavel
2112.09,19.9,Media,20.5,99.73,164.77,86.41,40.08,24.09,11.8,5.62,Saudavel
4198.93,5.3,Media,38.1,324.8,620.73,296.2,190.72,86.12,57.06,23.12,Saudavel
3276.74,35.1,Baixa,72.1,486.89,1067.04,377.35,215.56,134.83,54.81,26.22,Em observacao
2891.07,20.9,Media,47.1,223.35,607.7,284.04,119.49,64.94,43.38,18.21,Saudavel
2577.63,14.4,Baixa,57.8,251.32,683.02,277.18,131.42,87.3,43.16,17.58,Saudavel
7399.18,23.9,Media,70.2,1142.84,2304.04,877.52,418.94,236.89,158.31,59.23,Em observacao
9959.2,44.5,Alta,47.6,1090.14,1752.94,897.18,486.84,282.79,150.37,77.44,Em observacao
1961.62,5.7,Alta,20.3,74.01,185.37,66.85,35.68,20.1,11.47,4.47,Saudavel
6761.01,46.1,Baixa,100.2,1197.8,2828.89,1497.34,663.37,323.07,152.54,108.78,Em risco
6270.53,56.2,Baixa,36.7,436.28,1050.36,416.62,185.18,125.57,61.6,28.21,Em risco
1412.0,12.0,Baixa,49.9,144.82,309.07,116.67,68.6,32.61,24.28,8.89,Saudavel
4532.41,16.2,Media,55.2,436.79,1198.42,450.11,198.7,107.39,71.38,37.39,Saudavel
3161.63,81.4,Media,52.1,343.66,740.18,294.32,125.13,84.7,42.26,17.94,Em risco
2657.62,42.7,Baixa,63.0,294.01,640.84,420.92,145.53,103.02,47.6,22.54,Em observacao
1819.61,50.3,Baixa,32.7,109.87,290.34,99.61,45.86,28.22,14.19,7.71,Em risco
4354.1,3.1,Baixa,39.9,364.02,666.86,380.84,155.38,95.68,50.01,23.78,Saudavel
1582.36,41.5,Baixa,58.8,201.04,360.63,168.66,99.32,60.78,28.17,12.23,Em observacao
1412.0,5.2,Alta,61.4,174.15,373.4,150.45,89.57,43.21,23.32,12.44,Saudavel
5230.44,19.7,Baixa,36.5,409.91,724.52,399.55,171.29,107.13,64.68,30.38,Saudavel
1627.93,55.2,Media,71.7,210.98,434.82,282.17,114.69,71.83,35.62,16.59,Em risco
2251.42,28.9,Media,40.6,209.63,321.25,218.93,80.66,41.89,26.68,15.23,Saudavel
2827.5,32.5,Alta,58.2,265.55,747.29,363.48,111.89,86.29,51.09,19.23,Em observacao
1412.0,37.4,Baixa,58.1,172.82,359.36,144.62,78.39,32.81,22.9,9.93,Em observacao
4499.21,7.5,Baixa,86.7,690.83,1636.8,887.95,357.64,177.48,88.11,63.07,Em observacao
3530.46,36.7,Baixa,47.9,308.42,683.68,369.08,170.31,91.85,43.93,22.21,Em observacao
6474.2,10.5,Baixa,32.1,364.18,752.9,550.25,198.69,113.44,69.81,29.18,Saudavel
2179.84,32.0,Media,33.7,167.41,261.31,170.08,68.05,38.94,20.54,9.21,Em observacao
3874.26,23.7,Baixa,80.8,687.3,1148.81,741.32,260.23,151.24,94.48,48.76,Em observacao
2405.55,13.7,Baixa,59.5,305.95,614.94,248.34,127.35,72.93,38.04,23.15,Saudavel
3782.48,14.7,Baixa,56.7,404.68,884.83,475.88,175.77,116.55,61.15,27.28,Saudavel
5797.04,27.1,Alta,75.9,880.92,1831.21,883.14,412.53,188.06,137.44,69.18,Em observacao
4123.85,28.5,Alta,53.0,362.75,865.11,488.62,247.34,126.94,59.69,35.13,Saudavel
6064.04,46.3,Media,56.4,668.67,1558.09,551.49,342.36,182.13,76.73,43.11,Em observacao
3679.08,19.7,Media,39.5,350.82,538.74,265.6,135.62,84.44,51.48,25.17,Saudavel
3864.21,32.5,Media,47.7,348.28,683.25,434.13,191.04,95.11,67.61,24.88,Em observacao
4429.34,38.3,Alta,89.7,742.57,1866.17,709.76,313.01,167.0,119.39,53.84,Em observacao
3071.22,40.3,Media,53.6,347.37,705.37,331.17,119.43,66.21,52.1,23.57,Em observacao
3059.6,43.8,Baixa,37.0,239.67,415.42,256.48,100.16,71.79,32.47,17.42,Em observacao
2552.31,1.2,Media,30.6,136.05,346.16,145.0,68.63,53.15,20.88,12.29,Saudavel
6785.92,50.5,Baixa,51.7,620.39,1496.75,657.36,351.66,214.14,122.11,48.43,Em risco
6441.93,24.5,Media,63.3,885.03,1546.13,918.25,301.53,243.95,117.57,65.64,Saudavel
9032.07,19.1,Baixa,60.5,909.26,2529.75,964.94,574.98,262.49,134.22,86.64,Saudavel
3161.27,68.1,Alta,66.5,463.11,804.12,483.66,166.16,94.66,57.63,31.74,Em risco
3906.97,61.1,Alta,38.3,232.45,683.46,303.43,127.51,82.84,41.39,24.15,Em risco
2935.38,31.8,Media,60.3,357.01,775.76,298.64,169.08,105.28,43.2,22.39,Em observacao
3159.37,45.9,Baixa,72.9,492.76,860.22,469.26,258.96,114.48,73.76,32.59,Em observacao
2532.74,51.3,Baixa,49.4,249.48,484.09,289.24,110.45,59.4,37.85,19.77,Em risco
2688.07,15.7,Alta,83.0,472.7,911.32,499.06,170.55,94.92,55.87,25.56,Em observacao
4604.18,28.3,Baixa,31.6,312.37,532.16,276.41,170.75,98.55,36.49,27.13,Saudavel
5059.74,59.9,Baixa,107.4,921.73,2192.49,1268.26,458.8,323.84,197.0,70.13,Em risco
2342.61,48.3,Alta,38.0,181.77,353.93,183.14,89.19,46.46,20.09,14.65,Em observacao
5561.76,58.0,Baixa,94.6,1021.82,2412.58,813.2,525.25,246.86,161.23,78.9,Em risco
7170.72,55.1,Alta,38.7,567.62,1202.85,516.86,265.72,116.23,76.39,30.4,Em risco
1849.68,12.1,Baixa,79.1,298.0,585.12,268.84,150.01,89.38,48.05,22.82,Em observacao
5228.02,25.5,Baixa,55.8,540.2,1215.64,589.21,269.5,166.1,92.54,45.15,Saudavel
4676.8,32.5,Media,62.1,550.05,1165.13,580.76,313.51,165.1,82.3,46.93,Em observacao
1950.99,42.2,Baixa,52.2,201.38,452.01,173.52,93.96,48.01,34.52,14.61,Em observacao
3579.09,41.7,Alta,56.1,470.57,760.55,372.71,195.49,104.94,67.69,34.9,Em observacao
1718.1,12.2,Media,43.2,124.38,325.83,150.28,70.45,34.33,23.73,12.53,Saudavel
2916.86,16.1,Baixa,89.1,481.22,1092.52,518.96,275.96,114.71,79.25,35.69,Em observacao
7403.86,16.4,Baixa,40.4,538.25,1129.51,773.66,260.36,160.44,84.2,44.96,Saudavel
3255.0,19.9,Alta,69.5,469.87,939.33,425.47,189.77,126.23,77.53,34.8,Saudavel
7384.9,31.7,Baixa,39.5,648.53,1110.15,631.35,231.96,157.6,97.07,41.75,Em observacao
5522.36,41.7,Alta,28.7,342.47,621.77,343.41,135.36,81.89,35.71,23.78,Em observacao
3420.96,35.2,Baixa,38.1,294.89,536.48,239.06,110.45,65.55,38.15,18.63,Em observacao
3190.3,43.6,Baixa,68.0,455.8,805.77,480.82,212.92,121.1,65.94,27.5,Em observacao
2931.96,23.9,Media,82.2,530.51,838.6,555.53,252.1,124.71,71.56,38.33,Em observacao
3216.61,11.0,Baixa,37.4,190.47,553.01,234.87,121.41,57.89,30.13,16.49,Saudavel
2000.67,20.0,Baixa,29.3,95.49,269.5,117.67,43.75,37.01,13.93,9.21,Saudavel
2354.79,21.7,Alta,39.8,196.4,362.35,203.49,87.09,48.6,23.38,15.99,Saudavel
1615.61,15.2,Media,45.0,124.74,313.55,158.95,57.48,37.39,25.01,9.78,Saudavel
1527.6,40.3,Media,51.5,186.41,287.67,168.4,64.66,40.64,26.21,11.97,Em observacao
1611.56,5.9,Media,59.5,174.09,422.87,189.28,77.8,56.98,22.39,16.09,Saudavel
9410.3,15.9,Baixa,68.1,1327.22,2370.77,1489.84,607.56,376.82,157.19,81.04,Saudavel
2665.76,37.9,Baixa,81.4,472.5,948.2,384.29,169.9,95.33,66.18,34.72,Em observacao
5265.49,26.2,Media,46.9,518.08,1032.85,487.91,174.97,147.87,76.34,31.58,Saudavel
3292.53,24.0,Baixa,68.8,406.13,1064.03,399.03,189.07,112.69,61.9,33.47,Saudavel
2864.87,36.4,Alta,79.9,471.3,1011.14,385.11,209.33,108.68,68.74,33.32,Em observacao
4457.52,40.5,Baixa,52.2,423.31,872.1,550.47,252.85,115.47,71.58,40.97,Em observacao
3734.33,75.1,Media,59.6,478.84,919.18,475.19,165.19,109.44,48.92,27.62,Em risco
2882.45,13.1,Media,26.1,134.29,302.44,176.44,71.94,32.83,24.75,9.21,Saudavel
2161.28,54.8,Baixa,36.4,161.24,351.37,137.09,62.98,40.7,23.63,10.72,Em risco
1574.55,3.4,Media,43.2,134.18,298.98,115.33,64.03,36.96,20.23,10.39,Saudavel
5339.77,35.5,Baixa,86.0,798.91,1994.17,957.04,437.98,229.84,122.01,54.21,Em observacao
2236.11,3.9,Alta,29.3,143.28,270.07,122.14,59.09,36.3,15.12,8.68,Saudavel
2656.6,58.9,Baixa,56.0,263.16,550.04,379.81,135.48,87.25,43.62,28.17,Em risco
2534.85,8.0,Media,57.5,312.99,562.66,270.84,157.8,83.95,44.87,25.38,Saudavel
2368.0,29.6,Alta,37.6,168.25,349.98,191.66,84.4,48.75,34.53,13.49,Saudavel
5052.8,18.7,Alta,53.0,466.61,1155.65,543.11,234.95,168.74,64.42,42.86,Saudavel
3309.0,35.4,Media,43.1,334.02,528.95,307.1,113.01,76.68,40.33,24.56,Em observacao
1427.02,49.1,Alta,43.8,127.34,262.48,108.58,65.25,36.11,15.02,9.93,Em observacao
2115.64,42.3,Alta,53.9,239.84,462.92,223.81,109.32,61.02,27.07,16.65,Em observacao
2920.35,54.7,Baixa,69.4,359.95,890.93,401.9,156.3,118.59,64.98,32.71,Em risco
2765.57,32.8,Media,63.3,375.43,662.53,381.32,180.97,78.21,49.04,22.44,Em observacao
2197.36,20.8,Baixa,58.2,210.82,551.02,281.81,103.86,74.46,41.48,16.41,Saudavel
4901.48,22.5,Baixa,102.7,775.41,2244.42,1077.56,427.86,294.6,131.45,81.92,Em risco
1876.45,30.0,Baixa,83.1,317.0,704.9,250.33,146.12,68.03,48.67,24.24,Em observacao
11680.64,49.0,Alta,13.0,288.74,685.0,279.17,115.48,83.76,47.79,17.94,Em observacao
2361.36,21.3,Media,84.0,347.69,878.67,377.22,202.06,103.87,45.91,29.18,Em observacao
6846.99,58.6,Alta,67.6,821.6,1993.15,1002.91,415.63,221.69,116.52,54.06,Em risco
2523.63,58.9,Media,71.4,304.62,819.73,371.71,158.35,75.9,48.18,24.46,Em risco
5573.37,19.9,Baixa,48.1,533.59,1188.97,458.56,255.45,119.09,82.81,39.56,Saudavel
3058.38,46.1,Baixa,54.9,315.37,705.55,312.61,170.42,92.35,57.1,25.49,Em observacao
8022.44,53.0,Alta,69.3,1354.67,2141.45,1005.58,481.35,349.18,139.22,89.23,Em risco
7526.71,15.8,Baixa,77.3,1273.62,2380.31,1150.11,493.4,273.44,157.34,90.51,Em observacao
4111.13,37.4,Media,83.3,637.12,1496.76,618.78,311.59,188.98,110.33,61.97,Em observacao
4637.68,41.8,Baixa,35.9,363.2,628.7,324.64,153.48,116.45,50.03,26.89,Em observacao
1653.91,48.5,Media,50.5,178.5,342.74,165.27,67.03,49.82,22.3,9.8,Em observacao
2196.96,12.7,Alta,88.9,482.52,718.98,378.74,177.16,104.17,56.79,34.58,Em observacao
3104.4,24.6,Alta,41.4,250.68,478.44,298.57,136.89,62.63,38.67,20.12,Saudavel
3443.7,15.9,Baixa,54.0,403.61,766.02,379.54,148.71,94.93,40.29,26.68,Saudavel
2312.08,23.0,Baixa,29.7,117.88,296.93,138.88,66.85,40.29,17.49,9.18,Saudavel
3378.5,3.0,Alta,41.0,299.75,533.86,267.09,143.53,73.19,45.85,23.35,Saudavel
7774.17,7.0,Media,69.7,1101.71,2103.37,1164.56,456.18,357.72,159.0,73.73,Saudavel
5620.97,28.6,Baixa,21.8,253.23,515.68,230.98,96.27,75.4,33.91,18.76,Saudavel
2138.74,38.2,Alta,41.8,158.56,390.06,174.15,72.49,57.41,28.04,13.18,Em observacao
3029.34,23.0,Alta,50.7,301.32,618.49,331.51,124.86,86.05,46.9,25.73,Saudavel
4002.86,15.1,Baixa,54.5,370.19,1012.0,430.7,175.64,112.25,50.96,29.39,Saudavel
2527.18,21.0,Media,67.2,320.33,729.19,306.48,165.31,98.72,47.36,31.81,Saudavel
3632.86,37.4,Baixa,65.8,499.7,1069.79,385.41,196.28,138.12,63.01,36.68,Em observacao
1412.0,38.6,Media,43.0,112.42,243.23,133.49,61.7,28.97,18.63,9.2,Em observacao
4224.72,18.9,Baixa,52.5,489.26,869.15,439.9,204.52,132.47,50.05,31.0,Saudavel
5613.68,45.6,Alta,38.8,404.26,820.52,541.82,163.54,141.88,69.37,37.01,Em observacao
4598.36,30.1,Media,46.0,432.71,931.44,422.23,149.93,103.82,47.48,27.78,Em observacao
2283.16,23.3,Baixa,53.0,278.4,497.21,223.73,89.79,62.85,38.46,18.81,Saudavel
1432.43,11.2,Baixa,42.4,139.25,232.73,122.54,48.95,33.75,20.85,9.2,Saudavel
6318.49,9.4,Media,71.7,982.23,1622.05,1036.71,385.0,270.94,154.3,77.39,Em observacao
5437.15,72.1,Baixa,69.6,666.3,1717.88,662.46,393.86,193.06,91.24,57.83,Em risco
2716.12,38.1,Baixa,80.9,377.08,987.79,396.78,212.56,128.13,59.05,35.65,Em observacao
3889.9,25.3,Media,87.6,785.21,1217.81,649.87,361.55,206.57,125.83,59.14,Em observacao
3345.04,27.4,Baixa,52.1,307.07,804.9,335.98,145.25,85.31,41.99,22.73,Saudavel
2482.04,15.8,Baixa,50.2,252.87,492.2,283.03,96.76,67.98,36.25,16.11,Saudavel
3862.66,9.2,Media,27.8,185.13,509.04,198.86,91.47,46.22,25.97,15.62,Saudavel
4634.66,34.3,Baixa,31.7,285.25,616.39,293.44,137.26,81.82,34.7,21.48,Em observacao
3236.15,25.3,Media,38.4,307.94,460.15,215.53,131.54,77.49,32.05,17.29,Saudavel
3367.19,39.0,Alta,29.6,150.35,450.58,213.56,94.8,48.72,26.03,12.62,Em observacao
3038.98,8.7,Alta,60.2,361.75,812.87,341.3,176.59,71.92,44.89,21.32,Saudavel
2652.63,18.8,Alta,83.1,459.27,870.55,481.16,180.69,109.01,74.26,29.44,Em observacao
5242.6,36.9,Media,50.7,481.07,1122.63,593.81,204.45,130.22,87.99,38.93,Em observacao
1412.0,51.6,Baixa,34.6,96.16,210.91,97.54,44.28,20.23,14.63,5.48,Em risco
1439.2,41.6,Alta,63.1,144.57,385.68,198.23,89.17,52.13,24.32,14.5,Em observacao
2321.95,45.2,Media,70.9,283.71,704.02,375.49,150.44,70.42,38.5,22.81,Em observacao
1712.49,30.9,Baixa,66.2,189.93,485.82,257.35,90.99,57.15,32.79,20.16,Em observacao
2312.81,43.5,Media,58.9,249.47,617.26,246.04,124.53,66.6,41.08,17.49,Em observacao
3222.92,12.2,Alta,51.5,336.15,663.78,346.93,150.38,95.83,43.42,22.6,Saudavel
2911.27,44.6,Media,9.5,50.21,112.03,67.72,23.26,12.69,6.94,4.98,Em observacao
1412.0,34.3,Media,72.6,219.28,371.83,245.32,96.25,50.3,29.27,12.41,Em observacao
3807.56,15.0,Alta,9.2,66.87,144.8,71.47,30.74,16.04,11.98,6.57,Saudavel
4494.42,12.3,Baixa,81.8,747.04,1622.97,620.46,299.64,213.2,112.92,60.63,Em observacao
2373.57,55.0,Media,61.4,241.76,648.93,297.64,151.12,60.78,36.92,21.4,Em risco
5414.74,12.6,Baixa,40.1,449.47,906.58,426.87,190.89,100.64,65.4,30.46,Saudavel
4464.3,38.7,Baixa,74.2,690.24,1384.97,646.44,290.01,158.39,99.77,42.67,Em observacao
1853.92,27.0,Alta,86.4,246.78,694.01,376.34,137.25,73.15,48.48,25.49,Em observacao
4110.25,15.0,Baixa,56.5,506.6,966.3,447.79,176.99,138.3,57.02,30.82,Saudavel
4526.23,26.3,Media,73.9,712.53,1529.3,522.67,308.65,137.68,93.66,42.44,Em observacao
1912.6,5.5,Baixa,36.8,158.06,271.53,142.65,69.97,35.33,17.06,9.94,Saudavel
3466.55,48.5,Media,60.0,375.94,852.6,420.56,199.67,142.25,54.04,33.24,Em observacao
2851.8,17.7,Baixa,82.2,453.53,924.16,513.61,208.51,122.23,77.74,43.86,Em observacao
2230.63,29.8,Media,59.0,271.08,572.51,241.93,95.54,81.73,33.97,20.39,Saudavel
4818.87,42.2,Alta,23.3,194.3,415.95,280.57,115.86,70.96,29.69,17.61,Em observacao
5402.22,43.6,Media,52.0,628.75,1067.04,623.46,213.51,151.57,92.46,32.96,Em observacao
3162.54,21.2,Baixa,58.6,357.09,835.79,304.33,174.3,102.26,56.52,24.26,Saudavel
2488.46,27.0,Baixa,60.1,288.47,618.91,302.37,123.3,85.46,52.01,25.05,Saudavel
2394.38,26.3,Alta,62.5,307.82,556.94,326.95,152.28,88.37,44.57,18.46,Saudavel
4503.32,43.2,Alta,64.2,574.98,1257.53,546.55,260.27,129.34,85.23,38.61,Em observacao
8666.01,18.8,Baixa,18.3,334.14,574.38,343.48,179.35,74.99,53.92,23.73,Saudavel
1707.27,33.2,Alta,31.5,123.77,203.52,108.97,48.86,27.67,16.94,8.62,Em observacao
1628.43,12.4,Alta,73.7,224.51,475.31,249.68,130.23,74.04,29.64,17.03,Em observacao
3492.98,62.2,Alta,72.5,544.82,1011.65,534.43,196.53,141.39,63.11,39.39,Em risco
2597.29,21.1,Baixa,82.7,371.9,834.58,549.88,189.46,115.68,56.65,30.19,Em observacao
10767.25,34.4,Baixa,45.6,1084.65,2005.88,967.62,406.25,237.45,136.03,72.88,Em observacao
2073.02,25.4,Media,47.3,173.58,447.33,179.41,88.01,46.91,32.27,13.35,Saudavel
4915.42,59.6,Media,58.4,482.93,1208.25,617.23,281.53,167.41,76.83,34.6,Em risco
3682.05,48.3,Baixa,62.2,500.85,920.15,404.56,235.06,137.97,64.64,27.47,Em observacao
5940.95,21.8,Alta,70.8,714.92,1916.82,741.0,377.12,258.77,122.99,76.48,Em observacao
1412.0,51.5,Baixa,26.6,70.22,162.33,78.18,35.42,15.27,9.23,5.59,Em risco
2893.32,23.9,Media,92.2,502.81,1132.69,553.03,250.32,130.73,60.85,38.34,Em observacao
6454.88,35.4,Alta,56.0,739.52,1456.6,734.75,355.41,184.42,103.09,42.64,Em observacao
7907.44,29.0,Baixa,36.3,526.99,1322.17,562.68,218.2,120.42,85.6,38.2,Saudavel
4131.11,32.7,Alta,31.5,283.78,523.49,252.28,108.22,77.38,34.89,20.61,Em observacao
4890.22,7.6,Baixa,67.6,730.84,1341.75,680.19,252.4,163.23,80.45,57.51,Saudavel
3811.32,12.5,Alta,86.9,547.39,1428.76,728.38,305.22,178.66,77.34,44.74,Em observacao
4671.8,36.7,Baixa,46.4,390.82,964.29,438.78,175.72,117.24,53.99,24.6,Em observacao
4367.48,35.4,Alta,102.1,850.33,1774.93,1015.19,415.82,214.16,130.01,57.93,Em observacao
4108.6,9.3,Baixa,75.8,642.86,1338.48,587.18,276.18,155.44,81.3,32.5,Em observacao
8501.39,15.5,Media,54.2,934.69,1960.09,950.11,362.68,199.81,133.76,66.6,Saudavel
4240.12,9.8,Baixa,69.7,599.35,1177.52,601.26,280.89,161.26,93.29,40.34,Saudavel
1412.0,40.5,Media,60.8,189.97,360.99,155.26,68.31,47.37,22.31,14.09,Em observacao
1818.19,37.7,Baixa,64.6,238.13,532.81,178.13,112.97,59.45,36.91,15.45,Em observacao
2471.77,20.7,Baixa,53.9,284.55,516.83,272.32,122.03,78.57,39.53,18.48,Saudavel
2815.28,42.3,Baixa,41.1,233.6,474.53,223.44,105.2,63.84,39.69,15.46,Em observacao
4308.83,13.3,Baixa,46.2,400.27,776.06,426.49,207.29,91.85,60.74,29.77,Saudavel
3811.61,18.1,Baixa,51.8,462.59,705.35,409.37,184.91,119.15,61.64,32.24,Saudavel
4072.2,21.8,Alta,54.8,439.86,851.85,476.83,233.36,123.34,67.29,38.83,Saudavel
5149.38,25.5,Baixa,16.2,140.21,394.18,143.42,75.22,43.93,23.22,12.45,Saudavel
3709.74,11.1,Baixa,58.3,420.4,856.42,415.9,239.24,112.5,78.89,40.42,Saudavel
1841.76,35.3,Media,82.8,326.17,670.61,257.52,140.61,67.91,37.15,24.3,Em observacao
2104.04,12.5,Media,58.8,223.27,533.61,251.91,99.68,68.81,44.27,15.61,Saudavel
2003.5,17.3,Media,71.5,247.9,598.77,288.75,137.12,92.07,46.55,20.35,Em observacao
2639.63,38.8,Media,33.1,198.8,358.66,176.43,64.26,37.08,25.46,12.28,Em observacao
2771.61,50.2,Media,46.9,226.09,584.31,252.23,106.8,67.98,43.82,18.89,Em risco
2448.52,25.1,Alta,29.2,150.49,272.5,131.45,81.77,42.46,25.56,10.39,Saudavel
2903.17,21.3,Media,61.2,361.43,654.27,396.88,182.49,103.85,53.99,22.67,Saudavel
4958.85,20.4,Baixa,72.8,860.48,1340.48,718.2,393.95,161.23,89.6,46.76,Em observacao
2534.26,10.3,Media,55.9,272.81,589.91,291.46,121.24,79.41,42.18,20.84,Saudavel
1416.11,49.8,Alta,69.9,197.22,397.9,195.87,93.31,56.28,35.9,13.57,Em observacao
1840.44,17.4,Baixa,25.7,86.84,177.67,105.52,53.44,25.09,16.02,7.87,Saudavel
8643.34,45.5,Baixa,51.3,923.27,1847.03,783.94,490.06,211.69,108.2,68.57,Em observacao
3352.94,17.5,Media,67.6,459.9,1018.47,380.75,222.35,105.82,55.95,24.67,Saudavel
2960.98,31.3,Media,68.9,356.67,893.08,440.38,171.87,94.81,52.18,31.29,Em observacao
1476.24,15.5,Media,48.9,127.49,314.61,156.13,58.59,35.13,18.02,11.58,Saudavel
4216.57,17.2,Baixa,66.9,633.22,1142.47,597.5,202.3,137.46,65.89,41.07,Saudavel
1958.16,24.8,Media,79.2,339.94,659.95,296.02,125.0,67.85,41.55,21.5,Em observacao
2704.79,31.2,Baixa,57.4,267.3,662.56,293.11,172.97,89.3,42.67,24.16,Em observacao
2709.38,34.4,Media,30.9,174.22,335.21,175.01,70.54,46.12,26.12,10.02,Em observacao
7496.29,19.1,Baixa,52.1,862.58,1576.13,787.4,321.27,208.18,103.02,45.62,Saudavel
3736.5,57.3,Alta,53.0,429.98,732.38,477.08,143.61,107.3,60.02,30.63,Em risco
4276.26,47.1,Media,31.2,232.63,542.13,305.13,142.5,59.58,37.46,16.6,Em observacao
2777.58,9.8,Alta,62.5,415.68,719.07,300.8,132.93,97.54,49.65,21.25,Saudavel
2675.5,23.3,Baixa,21.0,127.89,228.92,101.05,53.47,26.06,18.25,7.53,Saudavel
6757.28,16.9,Alta,43.3,613.46,1335.0,471.18,244.82,135.78,91.32,33.46,Saudavel
2241.32,45.9,Baixa,33.0,153.12,273.68,160.75,77.92,44.57,19.04,9.59,Em observacao
1415.54,26.3,Baixa,52.0,159.84,271.95,161.66,61.46,45.63,25.07,10.04,Saudavel
2599.11,33.8,Alta,70.7,366.49,689.78,432.31,165.62,108.96,50.72,23.47,Em observacao
4154.62,25.5,Baixa,98.2,795.28,1675.12,793.73,388.12,250.82,106.08,71.39,Em risco
